Eng. Address,Latitude,Longitude
"4/F, On Tai Estate Ancillary Facilities Block, 23 On Sau Road, Kwun Tong, Kowloon",22.32553,114.23104
"G/F, Annex Block, Hing Tai House, Tai Hing Estate ,Tuen Mun, New Territories",22.40394,113.97011
"82 Tsun Wen Road,Tuen Mun, New Territories",22.40867,113.96942
"45, Ah Kung Kok Shan Road, Shatin, New Territories",22.39554,114.2184
"7 Yau Ting Street,Fu Shan, Tai Wai,Shatin, New Territories",22.37301,114.17138
"1/F, Block D, TWGHs Jockey Club Rehabilitation Complex, 4 Welfare Road, Aberdeen, Hong Kong",22.24668,114.16402
"4/F, Block B, TWGHs Jockey Club Rehabilitation Complex, 4 Welfare Road, Aberdeen, Hong Kong",22.24636,114.16439
"3/F, Block B, TWGHs Jockey Club Rehabilitation Complex, 4 Welfare Road, Aberdeen, Hong Kong",22.24636,114.16439
"2/F, Block B, TWGHs Jockey Club Rehabilitation Complex, 4 Welfare Road, Aberdeen, Hong Kong",22.24636,114.16439
"Room A,G Floor , 1-5 Sheung Mei House, Sheung Tak Estate, Tseung Kwan O, New Territories",22.31123,114.25665
"1/F-2/F, Shui Choi House, Tin Shui Estate, Tin Shui Wai, Yuen Long, New Territories",22.45606,113.9977
"1/F & Wing A of 2/F, Yiu Ling House, Tin Yiu Estate, Tin Shui Wai, Yuen Long, New Territories",22.45131,114.00397
"1-2/F, Block F, Senior Staff Quarters, Pamela Youde Nethersole Eastern Hospital, 3 Lok Man Road, Chai Wan, Hong Kong",22.2716,114.23755
"3-4/F, Block F, Senior Staff Quarters, Pamela Youde Nethersole Eastern Hospital, 3 Lok Man Road, Chai Wan, Hong Kong",22.26958,114.23782
"4/F & 5/F, Shek Kip Mei Estate Ancillary Facilities Block, ,100 Woh Chai Street, Sham Shui Po, Kowloon",22.33316,114.16713
"4/F, Hong Shue House , Lei Muk Shue Estate, Tsuen Wan , New Territories",22.37882,114.13692
"5 Tai Ching Cheung Road, Kwai Chung, New Territories",22.34529,114.14198
